Datetime,XGBModel_4 Hours Ahead (kW),XGBModel_8 Hours Ahead (kW),NBEATSModel_4 Hours Ahead (kW),NBEATSModel_8 Hours Ahead (kW),Actual load (kW)
2019-08-17 08:00:00,1.9885059595108032,1.7139296531677246,1.7791156914035802,1.4813798516945722,0.09840580602264448
2019-08-17 09:00:00,1.137872338294983,1.137872338294983,1.1766091243196808,1.1766091243196808,0.25612147182930795
2019-08-17 10:00:00,2.167722463607788,2.167722463607788,3.058820374160383,3.058820374160383,2.709302061325074
2019-08-17 11:00:00,2.7901856899261475,2.7901856899261475,3.5306978489678196,3.5306978489678196,3.449691389561122
2019-08-17 12:00:00,3.269148349761963,3.269148349761963,4.113306625861273,4.113306625861273,2.915584973473445
2019-08-17 13:00:00,3.6594672203063965,3.437605142593384,3.655527184952886,4.27258191443981,3.8789427505709333
2019-08-17 14:00:00,3.6979198455810547,3.5002384185791016,3.898869956306838,4.546784503117334,5.5631198853814885
2019-08-17 15:00:00,3.4519050121307373,3.4801716804504395,3.3918679917436236,3.666867564283178,5.1946941859037565
2019-08-17 16:00:00,3.227303981781006,3.096172571182251,3.4041095220076225,3.6202549872013923,2.8753105563909744
2019-08-17 17:00:00,3.6676506996154785,3.6676506996154785,2.792542444324382,2.792542444324382,2.228411416319107
2019-08-17 18:00:00,3.6563560962677,3.6563560962677,3.5769851927204317,3.5769851927204317,1.7838644742440135
2019-08-17 19:00:00,3.3323676586151123,3.3323676586151123,4.197427069536482,4.197427069536482,4.337297051440767
2019-08-17 20:00:00,4.675861835479736,4.675861835479736,4.877689229492326,4.877689229492326,6.166592140622038
2019-08-17 21:00:00,5.1037468910217285,4.745573043823242,4.710650244295474,4.837094633248429,6.200826752578313
2019-08-17 22:00:00,4.861549377441406,4.550816059112549,4.9470865557679335,4.929311765633736,3.980118242836424
2019-08-17 23:00:00,4.030673980712891,4.137350082397461,3.450504406257349,3.908773104914643,3.878958249887251
2019-08-18 00:00:00,2.5372047424316406,2.5946619510650635,2.7123068003088227,2.9614588003148343,2.3350684145613787
2019-08-18 01:00:00,1.5818593502044678,1.5818593502044678,1.1563582450759955,1.1563582450759955,2.6374959425930444
2019-08-18 02:00:00,0.8493137359619141,0.8493137359619141,0.9796132597502881,0.9796132597502881,2.1023041997595895
2019-08-18 03:00:00,0.3520689904689789,0.3520689904689789,0.42073076266731557,0.42073076266731557,1.1903698368076752
2019-08-18 04:00:00,0.18685926496982574,0.18685926496982574,0.20238138136436282,0.20238138136436282,0.397077976068286
2019-08-18 05:00:00,0.12153779715299606,0.16742782294750214,0.14337259599397037,0.07312877232440684,0.4002061659393323
2019-08-18 06:00:00,0.09393753856420517,0.15885019302368164,0.05026717787753097,0.12950229620062179,0.21100861201858612
2019-08-18 07:00:00,0.10220186412334442,0.290296345949173,0.1545735237184477,0.36744287966611844,0.36100733440229704
2019-08-18 08:00:00,0.09480906277894974,0.41999131441116333,0.26743031813435225,0.6563434843866879,9.99999999999901e-07
2019-08-18 09:00:00,0.32460644841194153,0.32460644841194153,0.43869221875142206,0.43869221875142206,0.512017305650077
2019-08-18 10:00:00,1.5022621154785156,1.5022621154785156,2.2883364419622736,2.2883364419622736,3.91695599735091
2019-08-18 11:00:00,2.0080201625823975,2.0080201625823975,3.327932519850934,3.327932519850934,6.450749859428829
2019-08-18 12:00:00,2.622668981552124,2.622668981552124,5.354501902412594,5.354501902412594,7.680814503617178
2019-08-18 13:00:00,5.161540508270264,3.971003532409668,5.519829624013098,4.8771041949701335,10.015369751665757
2019-08-18 14:00:00,5.057475566864014,3.870539903640747,6.007511354571758,5.3891262225860626,9.498401731385547
2019-08-18 15:00:00,4.857621192932129,3.5277998447418213,4.9738318161637975,4.695462163035159,6.1728529651328135
2019-08-18 16:00:00,3.3204212188720703,2.793494701385498,4.818396401773875,4.37710490122724,3.7553142004970965
2019-08-18 17:00:00,3.6651785373687744,3.6651785373687744,4.390894099834634,4.390894099834634,3.4385311133812784
2019-08-18 18:00:00,3.9936940670013428,3.9936940670013428,5.255113151973434,5.255113151973434,4.183482495689815
2019-08-18 19:00:00,4.683460235595703,4.683460235595703,6.587915520125459,6.587915520125459,7.888332778984073
2019-08-18 20:00:00,5.207518100738525,5.207518100738525,6.367579109936323,6.367579109936323,5.184308335654362
2019-08-18 21:00:00,5.169132232666016,5.153238773345947,5.603772357143869,6.668849046916051,4.694392335447098
2019-08-18 22:00:00,4.596831798553467,5.084316730499268,5.625962734999307,5.876724107881069,3.8754049753511217
2019-08-18 23:00:00,3.845996618270874,4.175266265869141,4.099088951479441,4.474203636036762,2.6736478648295936
2019-08-19 00:00:00,3.172093391418457,3.137660264968872,3.142564421673638,3.015933428594844,2.101290473101298
2019-08-19 01:00:00,1.513919711112976,1.513919711112976,1.4151075606870935,1.4151075606870935,1.0393618101124238
2019-08-19 02:00:00,1.0848397016525269,1.0848397016525269,0.8975438059608621,0.8975438059608621,0.7808243897760169
2019-08-19 03:00:00,0.540447473526001,0.540447473526001,0.3730836404390156,0.3730836404390156,0.22884397264098943
2019-08-19 04:00:00,0.2705632150173187,0.2705632150173187,0.1450077752106383,0.1450077752106383,0.23371238987223242
2019-08-19 05:00:00,0.04337577149271965,0.08668512850999832,0.08213513695780027,0.13252172974763918,9.99999999999901e-07
2019-08-19 06:00:00,0.10340433567762375,0.14581157267093658,0.48205955567683273,0.37419879423440633,0.3814204451141361
2019-08-19 07:00:00,0.5243949294090271,0.4942261576652527,1.4512583442077065,0.8414710288973759,1.0014287529207877
2019-08-19 08:00:00,1.4462989568710327,1.3608543872833252,1.4330810709386002,1.3046693122538242,1.4815619734768335
2019-08-19 09:00:00,2.2875776290893555,2.2875776290893555,1.6567884730822549,1.6567884730822549,3.6127618043268
2019-08-19 10:00:00,3.3435516357421875,3.3435516357421875,3.2924478395894936,3.2924478395894936,5.628867506525675
2019-08-19 11:00:00,3.886777877807617,3.886777877807617,4.328316064327615,4.328316064327615,3.709222525162593
2019-08-19 12:00:00,4.247397422790527,4.247397422790527,4.495227375560248,4.495227375560248,6.332022908189984
2019-08-19 13:00:00,5.35518741607666,3.8888895511627197,5.109228585254876,4.316788500876288,5.067241450924767
2019-08-19 14:00:00,4.250844478607178,4.037096977233887,5.153785198225273,5.010474500615675,4.119592441442701
2019-08-19 15:00:00,4.038857460021973,3.881873846054077,4.2961525057431045,4.602268669664264,3.1732757008662786
2019-08-19 16:00:00,3.772970199584961,3.2239630222320557,4.430419714862964,4.053466506224786,3.153283304638759
2019-08-19 17:00:00,3.695563793182373,3.695563793182373,3.53070239803225,3.53070239803225,2.023019863542345
2019-08-19 18:00:00,4.571225166320801,4.571225166320801,5.305237720197926,5.305237720197926,5.265846525001946
2019-08-19 19:00:00,5.077450752258301,5.077450752258301,5.493754959164139,5.493754959164139,8.23269276041497
2019-08-19 20:00:00,4.984257221221924,4.984257221221924,5.086785866927269,5.086785866927269,4.293626832104156
2019-08-19 21:00:00,4.3929219245910645,4.671708106994629,3.9942605740505615,4.8107870907598524,4.513936725129444
2019-08-19 22:00:00,3.926030158996582,4.065428256988525,3.717092360750152,4.1502909764199485,4.021196723874836
2019-08-19 23:00:00,2.5912091732025146,2.6208486557006836,2.5817326288031017,2.9723426819631067,3.5504958649215688
2019-08-20 00:00:00,2.0268306732177734,2.0148203372955322,1.744991780321258,1.9437940417777244,3.328435666582739
2019-08-20 01:00:00,1.9467260837554932,1.9467260837554932,1.738953663635897,1.738953663635897,2.2558354106271525
2019-08-20 02:00:00,0.9994764924049377,0.9994764924049377,0.8185059016595764,0.8185059016595764,0.5091178331379361
2019-08-20 03:00:00,0.32103872299194336,0.32103872299194336,0.435264222217681,0.435264222217681,0.7473920263824466
